UNI;4011;TUTTO IL PORTAFOGLIO;NULL;NULL;1 ;2019-02-22;KO;NESSUNA AGGREGAZIONE;PAG06;50004943522;1;2016-02-20;netto: -0.24 imposta: 0.00 lordo: -0.25
UNI;4011;TUTTO IL PORTAFOGLIO;NULL;NULL;1 ;2019-02-22;KO;NESSUNA AGGREGAZIONE;PAG06;50004943522;1;2016-03-20;netto: -0.22 imposta: 0.00 lordo: -0.23
UNI;4011;TUTTO IL PORTAFOGLIO;NULL;NULL;1 ;2019-02-22;KO;NESSUNA AGGREGAZIONE;PAG06;50004991945;1;2016-01-17;netto: -0.22 imposta: 0.00 lordo: -0.23
UNI;4011;TUTTO IL PORTAFOGLIO;NULL;NULL;1 ;2019-02-22;KO;NESSUNA AGGREGAZIONE;PAG06;50005056102;1;2016-02-03;netto: -0.26 imposta: 0.00 lordo: -0.27
UNI;4011;TUTTO IL PORTAFOGLIO;NULL;NULL;1 ;2019-02-22;KO;NESSUNA AGGREGAZIONE;PAG06;50005056102;1;2016-03-03;netto: -0.23 imposta: 0.00 lordo: -0.24
UNI;4011;TUTTO IL PORTAFOGLIO;NULL;NULL;1 ;2019-02-22;KO;NESSUNA AGGREGAZIONE;PAG06;50005099767;1;2016-02-24;netto: -0.24 imposta: 0.00 lordo: -0.25
UNI;4011;TUTTO IL PORTAFOGLIO;NULL;NULL;1 ;2019-02-22;KO;NESSUNA AGGREGAZIONE;PAG06;50005099767;1;2016-03-24;netto: -0.22 imposta: 0.00 lordo: -0.23
UNI;4011;TUTTO IL PORTAFOGLIO;NULL;NULL;1 ;2019-02-22;KO;NESSUNA AGGREGAZIONE;PAG06;50005111002;1;2016-02-03;netto: -0.43 imposta: 0.00 lordo: -0.44
UNI;4011;TUTTO IL PORTAFOGLIO;NULL;NULL;1 ;2019-02-22;KO;NESSUNA AGGREGAZIONE;PAG06;50005111002;1;2016-03-03;netto: -0.39 imposta: 0.00 lordo: -0.40
UNI;4011;TUTTO IL PORTAFOGLIO;NULL;NULL;1 ;2019-02-22;KO;NESSUNA AGGREGAZIONE;PAG06;50005136276;1;2016-01-18;netto: -0.27 imposta: 0.00 lordo: -0.28
UNI;4011;TUTTO IL PORTAFOGLIO;NULL;NULL;1 ;2019-02-22;KO;NESSUNA AGGREGAZIONE;PAG06;50005143561;1;2016-03-24;netto: -8.79 imposta: 0.00 lordo: -9.01
UNI;4011;TUTTO IL PORTAFOGLIO;NULL;NULL;1 ;2019-02-22;KO;NESSUNA AGGREGAZIONE;PAG06;50005161418;1;2016-03-07;netto: -0.47 imposta: 0.00 lordo: -0.48
UNI;4011;TUTTO IL PORTAFOGLIO;NULL;NULL;1 ;2019-02-22;KO;NESSUNA AGGREGAZIONE;PAG06;50005161421;1;2016-02-07;netto: -0.43 imposta: 0.00 lordo: -0.44
UNI;4011;TUTTO IL PORTAFOGLIO;NULL;NULL;1 ;2019-02-22;KO;NESSUNA AGGREGAZIONE;PAG06;50005161421;1;2016-03-07;netto: -0.39 imposta: 0.00 lordo: -0.40
UNI;4011;TUTTO IL PORTAFOGLIO;NULL;NULL;1 ;2019-02-22;KO;NESSUNA AGGREGAZIONE;PAG06;50005178260;1;2016-02-24;netto: -0.40 imposta: 0.00 lordo: -0.41
UNI;4011;TUTTO IL PORTAFOGLIO;NULL;NULL;1 ;2019-02-22;KO;NESSUNA AGGREGAZIONE;PAG06;50005178401;1;2016-02-24;netto: -0.20 imposta: 0.00 lordo: -0.21
UNI;4011;TUTTO IL PORTAFOGLIO;NULL;NULL;1 ;2019-02-22;KO;NESSUNA AGGREGAZIONE;PAG06;50005211834;1;2016-02-16;netto: -0.24 imposta: 0.00 lordo: -0.25
UNI;4011;TUTTO IL PORTAFOGLIO;NULL;NULL;1 ;2019-02-22;KO;NESSUNA AGGREGAZIONE;PAG06;50005309622;1;2016-02-03;netto: -0.43 imposta: 0.00 lordo: -0.44
UNI;4011;TUTTO IL PORTAFOGLIO;NULL;NULL;1 ;2019-02-22;KO;NESSUNA AGGREGAZIONE;PAG06;50005309622;1;2016-03-03;netto: -0.39 imposta: 0.00 lordo: -0.40
UNI;4011;TUTTO IL PORTAFOGLIO;NULL;NULL;1 ;2019-02-22;KO;NESSUNA AGGREGAZIONE;PAG06;50005358466;1;2016-02-01;netto: -0.26 imposta: 0.00 lordo: -0.27
UNI;4011;TUTTO IL PORTAFOGLIO;NULL;NULL;1 ;2019-02-22;KO;NESSUNA AGGREGAZIONE;PAG06;50005438645;1;2016-02-14;netto: -0.25 imposta: 0.00 lordo: -0.26
UNI;4011;TUTTO IL PORTAFOGLIO;NULL;NULL;1 ;2019-02-22;KO;NESSUNA AGGREGAZIONE;PAG06;50005518712;1;2016-02-08;netto: -0.34 imposta: 0.00 lordo: -0.35
UNI;4011;TUTTO IL PORTAFOGLIO;NULL;NULL;1 ;2019-02-22;KO;NESSUNA AGGREGAZIONE;PAG06;50005542897;1;2016-01-17;netto: -0.27 imposta: 0.00 lordo: -0.28
UNI;4011;TUTTO IL PORTAFOGLIO;NULL;NULL;1 ;2019-02-22;KO;NESSUNA AGGREGAZIONE;PAG06;50005542945;1;2011-11-17;netto: 600.00 imposta: 0.00 lordo: 50.00
UNI;4011;TUTTO IL PORTAFOGLIO;NULL;NULL;1 ;2019-02-22;KO;NESSUNA AGGREGAZIONE;PAG06;50005542980;1;2011-11-17;netto: 0.10 imposta: 0.00 lordo: 0.01
UNI;4011;TUTTO IL PORTAFOGLIO;NULL;NULL;1 ;2019-02-22;KO;NESSUNA AGGREGAZIONE;PAG06;50005553560;1;2016-03-23;netto: -0.22 imposta: 0.00 lordo: -0.23
UNI;4011;TUTTO IL PORTAFOGLIO;NULL;NULL;1 ;2019-02-22;KO;NESSUNA AGGREGAZIONE;PAG06;50005589601;1;2016-03-14;netto: -0.38 imposta: 0.00 lordo: -0.39
UNI;4011;TUTTO IL PORTAFOGLIO;NULL;NULL;1 ;2019-02-22;KO;NESSUNA AGGREGAZIONE;PAG06;50005634259;1;2016-03-19;netto: -0.22 imposta: 0.00 lordo: -0.23
UNI;4011;TUTTO IL PORTAFOGLIO;NULL;NULL;1 ;2019-02-22;KO;NESSUNA AGGREGAZIONE;PAG06;50005672042;1;2016-02-12;netto: -0.33 imposta: 0.00 lordo: -0.34
UNI;4011;TUTTO IL PORTAFOGLIO;NULL;NULL;1 ;2019-02-22;KO;NESSUNA AGGREGAZIONE;PAG06;50005672042;1;2016-03-12;netto: -0.30 imposta: 0.00 lordo: -0.31
UNI;4011;TUTTO IL PORTAFOGLIO;NULL;NULL;1 ;2019-02-22;KO;NESSUNA AGGREGAZIONE;PAG06;50005707682;1;2016-03-22;netto: -0.37 imposta: 0.00 lordo: -0.38
