UNI;4010;TUTTO IL PORTAFOGLIO;NULL;04;1 ;2019-02-22;KO;NESSUNA AGGREGAZIONE;PAG06;50004426477;1;2016-11-21;NettoEQ: 50.00 NettoDEQ: 50.00 Provv EQ: 0.00Provv DEQ: 1.25TipoTitolo: 04
UNI;4010;TUTTO IL PORTAFOGLIO;NULL;04;1 ;2019-02-22;KO;NESSUNA AGGREGAZIONE;PAG06;50004426497;1;2016-11-21;NettoEQ: 100.00 NettoDEQ: 100.00 Provv EQ: 0.00Provv DEQ: 2.50TipoTitolo: 04
UNI;4010;TUTTO IL PORTAFOGLIO;NULL;04;1 ;2019-02-22;KO;NESSUNA AGGREGAZIONE;PAG06;50004426501;1;2016-11-21;NettoEQ: 100.00 NettoDEQ: 100.00 Provv EQ: 0.00Provv DEQ: 2.50TipoTitolo: 04
UNI;4010;TUTTO IL PORTAFOGLIO;NULL;04;1 ;2019-02-22;KO;NESSUNA AGGREGAZIONE;PAG06;50004426508;1;2016-11-21;NettoEQ: 100.00 NettoDEQ: 100.00 Provv EQ: 0.00Provv DEQ: 2.50TipoTitolo: 04
UNI;4010;TUTTO IL PORTAFOGLIO;NULL;04;1 ;2019-02-22;KO;NESSUNA AGGREGAZIONE;PAG06;50004426548;1;2016-11-21;NettoEQ: 50.00 NettoDEQ: 50.00 Provv EQ: 0.00Provv DEQ: 1.25TipoTitolo: 04
UNI;4010;TUTTO IL PORTAFOGLIO;NULL;04;1 ;2019-02-22;KO;NESSUNA AGGREGAZIONE;PAG06;50004426567;1;2016-11-21;NettoEQ: 50.00 NettoDEQ: 50.00 Provv EQ: 0.00Provv DEQ: 1.25TipoTitolo: 04
UNI;4010;TUTTO IL PORTAFOGLIO;NULL;04;1 ;2019-02-22;KO;NESSUNA AGGREGAZIONE;PAG06;50004426614;1;2016-11-21;NettoEQ: 50.00 NettoDEQ: 50.00 Provv EQ: 0.00Provv DEQ: 1.25TipoTitolo: 04
UNI;4010;TUTTO IL PORTAFOGLIO;NULL;04;1 ;2019-02-22;KO;NESSUNA AGGREGAZIONE;PAG06;50004426627;1;2016-11-21;NettoEQ: 700.00 NettoDEQ: 700.00 Provv EQ: 0.00Provv DEQ: 17.50TipoTitolo: 04
UNI;4010;TUTTO IL PORTAFOGLIO;NULL;04;1 ;2019-02-22;KO;NESSUNA AGGREGAZIONE;PAG06;50004426628;1;2016-11-21;NettoEQ: 200.00 NettoDEQ: 200.00 Provv EQ: 0.00Provv DEQ: 5.00TipoTitolo: 04
UNI;4010;TUTTO IL PORTAFOGLIO;NULL;04;1 ;2019-02-22;KO;NESSUNA AGGREGAZIONE;PAG06;50004426640;1;2016-11-21;NettoEQ: 100.00 NettoDEQ: 100.00 Provv EQ: 0.00Provv DEQ: 2.50TipoTitolo: 04
